placestate	industry	year	growthdeals
Madison, WI	Information Technology	1984	1
Los Altos, CA	Information Technology	2018	4
Salt Lake City, UT	Medical/Health/Life Science	1993	1
Boston, MA	Information Technology	2006	10
Shelton, CT	Information Technology	1998	2
Austin, TX	Information Technology	2001	23
Jacksonville, FL	Information Technology	2002	2
Framingham, MA	Medical/Health/Life Science	1995	1
San Rafael, CA	Information Technology	2002	1
New Haven, CT	Medical/Health/Life Science	2011	1
Franklin, TN	Medical/Health/Life Science	1997	2
Sandy Springs, GA	Information Technology	1998	2
Irvine, CA	Non-High Technology	1986	2
Provo, UT	Information Technology	1998	1
Houston, TX	Non-High Technology	1991	1
Los Angeles, CA	Information Technology	2019	36
Tempe, AZ	Non-High Technology	1997	1
Somerville, MA	Non-High Technology	2013	1
Salt Lake City, UT	Information Technology	2007	2
Lexington, MA	Medical/Health/Life Science	2017	1
Burlington, MA	Non-High Technology	1985	1
Centennial, CO	Medical/Health/Life Science	2014	1
New Haven, CT	Medical/Health/Life Science	2007	3
Milwaukee, WI	Non-High Technology	1988	1
Lexington, MA	Information Technology	2001	2
Atlanta, GA	Medical/Health/Life Science	2001	1
St. Louis, MO	Non-High Technology	1996	1
Columbia, MD	Information Technology	2017	1
Jacksonville, FL	Information Technology	2015	1
The Woodlands, TX	Medical/Health/Life Science	1988	1
Mountain View, CA	Information Technology	1993	3
San Jose, CA	Information Technology	2004	18
Miami, FL	Non-High Technology	2020	1
San Carlos, CA	Medical/Health/Life Science	2012	1
Sandy Springs, GA	Information Technology	2004	4
Indianapolis city, IN	Medical/Health/Life Science	2009	2
Los Angeles, CA	Medical/Health/Life Science	1983	1
Plano, TX	Non-High Technology	2000	2
Fremont, CA	Medical/Health/Life Science	2000	3
Memphis, TN	Information Technology	1994	1
Salt Lake City, UT	Information Technology	1987	1
Irvine, CA	Non-High Technology	2007	1
Indianapolis city, IN	Information Technology	2020	5
Malvern, PA	Non-High Technology	2002	1
Menlo Park, CA	Information Technology	1996	7
Bethlehem, PA	Information Technology	2008	2
Fort Lauderdale, FL	Non-High Technology	2000	1
Watertown Town, MA	Non-High Technology	2007	1
Redmond, WA	Non-High Technology	2001	1
Rochester, NY	Information Technology	2017	2
Westborough, MA	Information Technology	2002	1
Durham, NC	Information Technology	2020	2
Palo Alto, CA	Non-High Technology	2014	4
Rockville, MD	Information Technology	2008	2
Tysons Corner, VA	Information Technology	1990	1
Rockville, MD	Non-High Technology	1994	1
Wellesley, MA	Information Technology	2002	1
Charlotte, NC	Non-High Technology	1986	1
Rockville, MD	Information Technology	2007	1
Pleasanton, CA	Medical/Health/Life Science	2012	1
Cleveland, OH	Information Technology	2007	1
Fremont, CA	Information Technology	2012	1
Ann Arbor, MI	Medical/Health/Life Science	1998	1
Los Angeles, CA	Medical/Health/Life Science	2006	1
Westport, CT	Information Technology	2010	3
Burlington, MA	Information Technology	2013	4
Marlborough, MA	Medical/Health/Life Science	1987	1
Detroit, MI	Non-High Technology	1989	1
Tampa, FL	Information Technology	2015	4
Durham, NC	Medical/Health/Life Science	1999	1
Burlingame, CA	Information Technology	2003	4
Redwood City, CA	Medical/Health/Life Science	1998	1
Scottsdale, AZ	Information Technology	2007	1
San Francisco, CA	Information Technology	2005	42
Irving, TX	Information Technology	1999	5
San Jose, CA	Information Technology	1992	12
Chicago, IL	Information Technology	2007	9
Denver, CO	Non-High Technology	1999	3
Framingham, MA	Information Technology	2005	3
San Diego, CA	Medical/Health/Life Science	2017	9
Austin, TX	Non-High Technology	2016	7
Overland Park, KS	Information Technology	1998	1
Seattle, WA	Medical/Health/Life Science	2016	7
Denver, CO	Non-High Technology	1989	2
Newark, CA	Medical/Health/Life Science	2003	1
Woburn, MA	Medical/Health/Life Science	1995	2
Atlanta, GA	Information Technology	1994	1
Westport, CT	Information Technology	1981	1
Pasadena, CA	Non-High Technology	2016	1
San Mateo, CA	Information Technology	2007	22
Milpitas, CA	Medical/Health/Life Science	1987	1
Campbell, CA	Non-High Technology	2009	1
Boston, MA	Information Technology	2016	32
Newport Beach, CA	Non-High Technology	2001	1
Burlington, MA	Non-High Technology	2019	1
San Francisco, CA	Information Technology	2012	158
Pittsburgh, PA	Non-High Technology	2018	2
Santa Clara, CA	Information Technology	2017	9
Plymouth, MN	Medical/Health/Life Science	2011	1
Malvern, PA	Information Technology	2006	1
Lexington, MA	Information Technology	1999	4
Overland Park, KS	Information Technology	1985	1
Fort Lauderdale, FL	Non-High Technology	1982	1
San Carlos, CA	Medical/Health/Life Science	2000	2
Addison, TX	Medical/Health/Life Science	2020	1
Phoenix, AZ	Non-High Technology	1999	1
Pinehurst, MA	Information Technology	1998	1
Boston, MA	Non-High Technology	1997	1
Rochester, NY	Information Technology	2016	2
Ann Arbor, MI	Medical/Health/Life Science	1983	1
Milpitas, CA	Information Technology	2016	2
Santa Monica, CA	Information Technology	2003	3
