placestate	industry	year	growthdeals
Brentwood, TN	Information Technology	1988	1
Ann Arbor, MI	Information Technology	2019	5
Lowell, MA	Information Technology	2015	1
Goleta, CA	Information Technology	2007	2
Baltimore, MD	Medical/Health/Life Science	1983	1
Irving, TX	Information Technology	2000	4
Dallas, TX	Medical/Health/Life Science	1984	1
Portland, OR	Information Technology	2016	7
Menlo Park, CA	Non-High Technology	2011	2
Provo, UT	Information Technology	2007	1
Carlsbad, CA	Non-High Technology	1992	1
Conshohocken, PA	Information Technology	2012	1
Berkeley, CA	Information Technology	1982	2
Buffalo, NY	Medical/Health/Life Science	2019	1
Memphis, TN	Information Technology	2004	1
Phoenix, AZ	Information Technology	1994	1
San Diego, CA	Non-High Technology	1999	1
Santa Ana, CA	Medical/Health/Life Science	1987	1
Nashville-Davidson, TN	Medical/Health/Life Science	2007	1
Tampa, FL	Information Technology	1984	1
Kirkland, WA	Information Technology	2006	1
Nashville-Davidson, TN	Information Technology	2016	1
Florence-Graham, CA	Information Technology	1994	1
Sunnyvale, CA	Medical/Health/Life Science	2007	5
St. Paul, MN	Information Technology	2017	2
Foster City, CA	Information Technology	2004	2
El Segundo, CA	Information Technology	2004	2
Albuquerque, NM	Information Technology	1990	1
Phoenix, AZ	Information Technology	2003	1
Pasadena, CA	Medical/Health/Life Science	2002	1
Dallas, TX	Medical/Health/Life Science	1996	3
Tigard, OR	Information Technology	2015	1
Redwood City, CA	Medical/Health/Life Science	2003	2
Chicago, IL	Non-High Technology	1998	3
Newark, CA	Information Technology	1989	1
Cambridge, MA	Medical/Health/Life Science	2008	10
Tampa, FL	Information Technology	2019	2
Sandy Springs, GA	Medical/Health/Life Science	1989	1
Chesterbrook, PA	Medical/Health/Life Science	1999	1
Woburn, MA	Information Technology	2004	3
New York, NY	Non-High Technology	1989	2
Colorado Springs, CO	Non-High Technology	1997	1
Nashville-Davidson, TN	Non-High Technology	2019	1
San Francisco, CA	Non-High Technology	2015	15
Santa Rosa, CA	Non-High Technology	1995	2
Addison, TX	Information Technology	1999	3
Campbell, CA	Information Technology	1999	5
New York, NY	Non-High Technology	1983	9
Carlsbad, CA	Information Technology	2019	1
Louisville, CO	Medical/Health/Life Science	2018	1
Raleigh, NC	Non-High Technology	2014	3
Burlington, MA	Medical/Health/Life Science	2004	1
Richardson, TX	Non-High Technology	1995	1
Newark, CA	Information Technology	1996	1
Phoenix, AZ	Information Technology	1987	3
Malvern, PA	Medical/Health/Life Science	1988	2
San Diego, CA	Medical/Health/Life Science	1993	6
Stamford, CT	Non-High Technology	1990	1
Sunnyvale, CA	Medical/Health/Life Science	1998	2
Tigard, OR	Medical/Health/Life Science	2015	1
Tempe, AZ	Medical/Health/Life Science	1987	1
Redwood City, CA	Non-High Technology	2007	1
Carlsbad, CA	Medical/Health/Life Science	2020	1
Goleta, CA	Information Technology	1990	1
Needham, MA	Medical/Health/Life Science	1985	2
Marlborough, MA	Information Technology	2003	2
San Jose, CA	Non-High Technology	2018	1
Burlingame, CA	Information Technology	2009	2
Seattle, WA	Information Technology	1990	2
San Diego, CA	Non-High Technology	1997	2
Santa Monica, CA	Non-High Technology	2015	3
Beaverton, OR	Information Technology	1996	1
Irvine, CA	Information Technology	1986	1
Miami, FL	Information Technology	2018	5
Cupertino, CA	Information Technology	1985	2
Stamford, CT	Information Technology	2008	2
Pittsburgh, PA	Non-High Technology	2013	12
Denver, CO	Non-High Technology	2001	2
Boston, MA	Non-High Technology	2000	2
San Francisco, CA	Information Technology	1994	7
Miami, FL	Information Technology	2008	2
Boulder, CO	Information Technology	1986	6
Berkeley, CA	Non-High Technology	2008	1
Denver, CO	Information Technology	1984	2
San Carlos, CA	Medical/Health/Life Science	2020	3
New York, NY	Information Technology	1999	107
Providence, RI	Information Technology	2012	1
Malvern, PA	Medical/Health/Life Science	2001	1
Houston, TX	Information Technology	1999	10
Nashua, NH	Information Technology	1996	1
Foster City, CA	Non-High Technology	1998	1
Boston, MA	Non-High Technology	2011	1
Germantown, MD	Medical/Health/Life Science	1997	1
Dallas, TX	Medical/Health/Life Science	2010	4
Irving, TX	Medical/Health/Life Science	1998	1
Charlotte, NC	Medical/Health/Life Science	2002	1
Atlanta, GA	Medical/Health/Life Science	1993	1
Pleasanton, CA	Information Technology	1989	1
Reston, VA	Information Technology	1997	3
Horsham, PA	Medical/Health/Life Science	2005	1
Bellevue, WA	Non-High Technology	2019	1
Cleveland, OH	Information Technology	2020	2
Boulder, CO	Non-High Technology	1989	1
Bothell, WA	Medical/Health/Life Science	2004	1
St. Louis, MO	Information Technology	2011	2
Charlottesville, VA	Medical/Health/Life Science	1998	1
Brentwood, TN	Medical/Health/Life Science	2008	1
Denver, CO	Non-High Technology	2014	4
Los Altos, CA	Information Technology	2001	3
Milwaukee, WI	Information Technology	2018	4
Emeryville, CA	Information Technology	2001	3
Fort Lauderdale, FL	Information Technology	1999	3
Cambridge, MA	Medical/Health/Life Science	1985	2
Seattle, WA	Non-High Technology	2006	1
Philadelphia, PA	Information Technology	1981	2
Chicago, IL	Information Technology	2016	20
Santa Clara, CA	Non-High Technology	2018	2
Carlsbad, CA	Information Technology	2001	2
Horsham, PA	Information Technology	2019	1
Foster City, CA	Medical/Health/Life Science	2003	1
Atlanta, GA	Medical/Health/Life Science	2014	2
Boulder, CO	Non-High Technology	2005	1
Houston, TX	Information Technology	1987	2
Westborough, MA	Information Technology	1987	1
Baltimore, MD	Information Technology	1998	2
Burlingame, CA	Information Technology	2000	5
Cleveland, OH	Medical/Health/Life Science	2018	1
Albuquerque, NM	Information Technology	2004	1
Los Gatos, CA	Medical/Health/Life Science	2005	1
Foster City, CA	Medical/Health/Life Science	2005	1
Colorado Springs, CO	Information Technology	1985	2
Sunnyvale, CA	Information Technology	2020	7
Los Altos, CA	Information Technology	2012	3
Santa Ana, CA	Non-High Technology	2014	1
Rockville, MD	Medical/Health/Life Science	1999	2
Johns Creek, GA	Medical/Health/Life Science	2004	2
Herndon, VA	Medical/Health/Life Science	1999	1
Cincinnati, OH	Medical/Health/Life Science	2014	1
Woburn, MA	Medical/Health/Life Science	2015	2
Westborough, MA	Information Technology	1984	2
Irvine, CA	Information Technology	1989	1
El Segundo, CA	Information Technology	2020	2
Austin, TX	Medical/Health/Life Science	2011	2
Watertown Town, MA	Non-High Technology	2019	1
Alpharetta, GA	Medical/Health/Life Science	2002	1
Andover, MA	Non-High Technology	2000	1
Portland, OR	Information Technology	2002	2
Malvern, PA	Medical/Health/Life Science	2011	1
Sunnyvale, CA	Medical/Health/Life Science	1995	4
Santa Ana, CA	Non-High Technology	1982	1
Nashville-Davidson, TN	Non-High Technology	2014	1
Goleta, CA	Information Technology	2009	1
Palo Alto, CA	Medical/Health/Life Science	1989	2
Bellevue, WA	Non-High Technology	1981	1
State College, PA	Information Technology	1986	1
Chesterbrook, PA	Non-High Technology	2017	1
Cleveland, OH	Medical/Health/Life Science	2006	2
Pittsburgh, PA	Non-High Technology	2004	1
Atlanta, GA	Information Technology	1992	1
Baltimore, MD	Information Technology	2012	2
Ann Arbor, MI	Non-High Technology	2018	2
Shelton, CT	Information Technology	1994	1
Lexington, MA	Non-High Technology	2004	1
Austin, TX	Non-High Technology	2014	4
New York, NY	Medical/Health/Life Science	2010	4
Beverly, MA	Information Technology	2007	1
Lowell, MA	Information Technology	2004	1
Lincoln, NE	Information Technology	2002	1
Lowell, MA	Information Technology	1986	1
Berkeley, CA	Medical/Health/Life Science	1996	1
Miami, FL	Information Technology	2003	1
Stamford, CT	Non-High Technology	2008	1
Dallas, TX	Medical/Health/Life Science	2001	1
San Francisco, CA	Information Technology	2013	195
Lexington, MA	Medical/Health/Life Science	1996	2
Gaithersburg, MD	Medical/Health/Life Science	1986	1
Chicago, IL	Medical/Health/Life Science	2009	1
Berkeley, CA	Information Technology	2011	3
Waltham, MA	Information Technology	2015	4
Johns Creek, GA	Information Technology	2002	1
Newton, MA	Medical/Health/Life Science	1997	1
Burlington, MA	Information Technology	1999	20
Reston, VA	Information Technology	1983	2
Palo Alto, CA	Medical/Health/Life Science	2004	2
San Diego, CA	Information Technology	2001	16
Princeton Junction, NJ	Information Technology	1995	1
Watertown Town, MA	Medical/Health/Life Science	2000	2
San Francisco, CA	Information Technology	2007	82
Cleveland, OH	Medical/Health/Life Science	1994	1
Chicago, IL	Non-High Technology	2005	2
Bothell, WA	Information Technology	2013	1
Pittsburgh, PA	Information Technology	1988	3
Marlborough, MA	Information Technology	2002	1
Richardson, TX	Information Technology	2002	4
Fremont, CA	Information Technology	2014	3
San Diego, CA	Medical/Health/Life Science	2019	18
Framingham, MA	Information Technology	2014	2
Oakland, CA	Information Technology	2012	4
Newark, CA	Medical/Health/Life Science	2019	1
Cincinnati, OH	Non-High Technology	2018	1
Charlottesville, VA	Non-High Technology	2000	1
Torrance, CA	Information Technology	2000	4
Reston, VA	Information Technology	2007	3
New York, NY	Information Technology	1987	6
Los Angeles, CA	Medical/Health/Life Science	1984	1
Alameda, CA	Medical/Health/Life Science	2017	1
Fremont, CA	Medical/Health/Life Science	2014	1
Horsham, PA	Non-High Technology	1990	1
Kansas City, MO	Non-High Technology	1991	1
Sacramento, CA	Non-High Technology	1993	1
Cleveland, OH	Non-High Technology	2003	2
Wilmington, MA	Information Technology	1996	2
New Haven, CT	Medical/Health/Life Science	2015	1
Cambridge, MA	Information Technology	2014	15
Sunnyvale, CA	Non-High Technology	2018	2
Mountain View, CA	Medical/Health/Life Science	1992	3
Minnetonka, MN	Non-High Technology	1991	1
Kirkland, WA	Information Technology	2012	2
Sunnyvale, CA	Information Technology	2005	12
Menlo Park, CA	Information Technology	1999	10
Dallas, TX	Non-High Technology	2015	2
San Mateo, CA	Non-High Technology	1986	1
Lake Forest, CA	Medical/Health/Life Science	2011	1
Houston, TX	Information Technology	2015	4
San Francisco, CA	Information Technology	1997	27
Fort Worth, TX	Non-High Technology	1998	1
Denver, CO	Non-High Technology	2008	4
Baltimore, MD	Non-High Technology	1990	1
Marlborough, MA	Information Technology	1981	4
Los Angeles, CA	Non-High Technology	2008	6
Newport Beach, CA	Non-High Technology	1993	1
Santa Clara, CA	Information Technology	2007	17
Boca Raton, FL	Information Technology	2002	1
New Haven, CT	Medical/Health/Life Science	2005	1
Broomfield, CO	Non-High Technology	1996	1
New York, NY	Non-High Technology	1985	3
Philadelphia, PA	Information Technology	1992	2
Hayward, CA	Non-High Technology	2011	2
St. Paul, MN	Information Technology	2018	1
Plymouth, MN	Medical/Health/Life Science	1991	1
Kirkland, WA	Information Technology	2019	2
Washington, DC	Information Technology	1999	10
Norwalk, CT	Information Technology	2018	1
Campbell, CA	Information Technology	2004	3
Tucson, AZ	Information Technology	1985	1
San Mateo, CA	Medical/Health/Life Science	1992	1
Lexington, MA	Non-High Technology	1991	1
Milpitas, CA	Information Technology	1989	2
Palo Alto, CA	Medical/Health/Life Science	1981	1
Durham, NC	Medical/Health/Life Science	2013	5
Cambridge, MA	Information Technology	2003	6
San Antonio, TX	Information Technology	2001	1
Campbell, CA	Medical/Health/Life Science	2011	1
San Diego, CA	Information Technology	2005	9
Raleigh, NC	Information Technology	1985	1
New York, NY	Non-High Technology	2010	7
Irving, TX	Information Technology	2014	1
Waltham, MA	Information Technology	2010	4
Cupertino, CA	Information Technology	2004	9
San Francisco, CA	Information Technology	2008	89
Sacramento, CA	Medical/Health/Life Science	2013	1
Bothell, WA	Non-High Technology	1984	1
South Plainfield, NJ	Medical/Health/Life Science	2000	1
Somerville, MA	Non-High Technology	2018	3
San Antonio, TX	Non-High Technology	2016	1
Phoenix, AZ	Information Technology	1986	1
Baltimore, MD	Non-High Technology	2000	2
San Antonio, TX	Information Technology	2006	1
Houston, TX	Information Technology	1998	4
Lexington, MA	Information Technology	1982	1
Miami, FL	Medical/Health/Life Science	2020	1
Alpharetta, GA	Information Technology	2020	1
Beaverton, OR	Information Technology	1983	5
Wilmington, MA	Non-High Technology	2002	1
Berkeley, CA	Medical/Health/Life Science	1981	1
Lexington, MA	Non-High Technology	2011	1
Norwalk, CT	Non-High Technology	2003	1
Boston, MA	Medical/Health/Life Science	2002	2
Raleigh, NC	Information Technology	2007	1
San Carlos, CA	Information Technology	2019	2
Charlottesville, VA	Information Technology	1988	1
Santa Monica, CA	Information Technology	2011	7
Somerville, MA	Information Technology	1981	1
Tigard, OR	Information Technology	2004	1
Memphis, TN	Non-High Technology	2013	2
Longmont, CO	Non-High Technology	1996	1
Beverly, MA	Medical/Health/Life Science	2018	2
Marlborough, MA	Non-High Technology	1996	1
Wilmington, MA	Non-High Technology	2010	1
Seattle, WA	Information Technology	2019	27
Pinehurst, MA	Information Technology	1982	2
Chicago, IL	Non-High Technology	1996	5
Madison, WI	Medical/Health/Life Science	2009	1
Boston, MA	Information Technology	2017	28
Louisville, CO	Non-High Technology	2019	1
Atlanta, GA	Medical/Health/Life Science	1997	1
Framingham, MA	Information Technology	2003	3
Wellesley, MA	Information Technology	1998	1
Emeryville, CA	Medical/Health/Life Science	2004	1
Ann Arbor, MI	Non-High Technology	1997	1
Foster City, CA	Information Technology	2014	4
San Mateo, CA	Medical/Health/Life Science	2016	1
Chantilly, VA	Information Technology	1996	1
Atlanta, GA	Non-High Technology	2003	2
Richmond, VA	Non-High Technology	1997	1
Emeryville, CA	Medical/Health/Life Science	2002	1
Los Angeles, CA	Information Technology	2011	19
Hayward, CA	Information Technology	2014	1
San Diego, CA	Non-High Technology	2015	2
Ann Arbor, MI	Medical/Health/Life Science	2013	1
Bloomington, MN	Information Technology	2018	1
New Haven, CT	Medical/Health/Life Science	2002	1
Santa Clara, CA	Non-High Technology	1992	1
Los Altos, CA	Information Technology	1985	2
South Plainfield, NJ	Non-High Technology	2004	1
Menlo Park, CA	Medical/Health/Life Science	1981	1
San Diego, CA	Information Technology	1983	7
Torrance, CA	Medical/Health/Life Science	1983	1
Centennial, CO	Non-High Technology	1984	1
State College, PA	Medical/Health/Life Science	2013	2
Kansas City, MO	Non-High Technology	1999	1
San Antonio, TX	Information Technology	1987	1
Plano, TX	Information Technology	2016	1
Greenwood Village, CO	Medical/Health/Life Science	2005	1
San Diego, CA	Medical/Health/Life Science	1986	4
Milwaukee, WI	Information Technology	1983	1
Buffalo, NY	Non-High Technology	2013	1
Burlingame, CA	Information Technology	2002	1
Irving, TX	Medical/Health/Life Science	1986	1
Campbell, CA	Information Technology	2011	3
South San Francisco, CA	Medical/Health/Life Science	2011	5
Birmingham, AL	Medical/Health/Life Science	2007	3
Sunnyvale, CA	Information Technology	1984	15
Houston, TX	Non-High Technology	2000	1
Madison, WI	Information Technology	2005	1
Costa Mesa, CA	Information Technology	2020	2
Alexandria, VA	Information Technology	2007	3
Raleigh, NC	Information Technology	2011	2
Beverly Hills, CA	Information Technology	1998	1
Santa Monica, CA	Non-High Technology	2019	3
Buffalo, NY	Information Technology	2015	3
Menlo Park, CA	Information Technology	2006	10
Dallas, TX	Information Technology	1997	6
Woburn, MA	Information Technology	2015	1
Cambridge, MA	Information Technology	2004	1
San Francisco, CA	Information Technology	1982	1
Phoenix, AZ	Information Technology	1981	2
San Bruno, CA	Information Technology	2001	2
Richardson, TX	Information Technology	1991	1
Baltimore, MD	Medical/Health/Life Science	1985	1
Durham, NC	Information Technology	2010	4
Boulder, CO	Non-High Technology	2000	2
Sandy Springs, GA	Medical/Health/Life Science	1991	2
Florence-Graham, CA	Non-High Technology	2017	2
Charlottesville, VA	Information Technology	2016	1
Salt Lake City, UT	Information Technology	1986	1
Sunnyvale, CA	Non-High Technology	2010	4
Bethesda, MD	Information Technology	2003	5
Chesterbrook, PA	Information Technology	1999	1
Washington, DC	Non-High Technology	1985	1
Mountain View, CA	Medical/Health/Life Science	2006	4
Oakland, CA	Non-High Technology	2018	4
Cary, NC	Medical/Health/Life Science	2012	1
Alexandria, VA	Non-High Technology	2007	1
Houston, TX	Information Technology	2005	2
Bellevue, WA	Information Technology	2013	4
Herndon, VA	Non-High Technology	1998	1
West Hollywood, CA	Information Technology	2019	4
Evanston, IL	Information Technology	2010	1
Cary, NC	Information Technology	2008	1
Mountain View, CA	Medical/Health/Life Science	2008	2
Eden Prairie, MN	Information Technology	1999	4
Austin, TX	Non-High Technology	2018	4
Palo Alto, CA	Medical/Health/Life Science	2013	2
Sandy Springs, GA	Information Technology	1984	1
Irvine, CA	Information Technology	1988	2
Newton, MA	Medical/Health/Life Science	2013	1
Pittsburgh, PA	Information Technology	2001	8
Tysons Corner, VA	Medical/Health/Life Science	2001	1
Stamford, CT	Medical/Health/Life Science	2017	1
Boston, MA	Medical/Health/Life Science	2004	1
Charlotte, NC	Non-High Technology	1998	3
Santa Clara, CA	Non-High Technology	2003	1
Burlington, MA	Information Technology	1993	1
Indianapolis city, IN	Medical/Health/Life Science	2012	1
Richardson, TX	Information Technology	1995	1
Franklin, TN	Medical/Health/Life Science	2009	1
Columbus, OH	Information Technology	1989	1
Belmont, CA	Non-High Technology	2006	1
Palo Alto, CA	Information Technology	1989	1
Cleveland, OH	Information Technology	2018	1
Emeryville, CA	Information Technology	1989	1
Palo Alto, CA	Information Technology	1990	2
Cambridge, MA	Information Technology	2001	7
State College, PA	Non-High Technology	2011	1
Cleveland, OH	Information Technology	2016	1
San Carlos, CA	Medical/Health/Life Science	1991	1
Alpharetta, GA	Medical/Health/Life Science	2004	1
Norwalk, CT	Information Technology	2015	1
Conshohocken, PA	Non-High Technology	2009	1
New Haven, CT	Medical/Health/Life Science	1998	3
Menlo Park, CA	Information Technology	2018	5
Princeton Junction, NJ	Non-High Technology	2018	1
Morrisville, NC	Information Technology	2008	1
Mountain View, CA	Information Technology	2016	11
Provo, UT	Information Technology	1997	1
South San Francisco, CA	Information Technology	2008	2
Irvine, CA	Non-High Technology	1983	2
Boston, MA	Information Technology	2007	17
Scottsdale, AZ	Information Technology	2000	7
San Francisco, CA	Information Technology	2001	23
Charlotte, NC	Non-High Technology	2005	1
Cupertino, CA	Information Technology	2014	1
Fremont, CA	Information Technology	1995	5
Sunnyvale, CA	Medical/Health/Life Science	1999	4
Fremont, CA	Information Technology	1992	6
Boston, MA	Medical/Health/Life Science	1983	1
Woburn, MA	Medical/Health/Life Science	1993	1
Oakland, CA	Non-High Technology	2017	2
Santa Clara, CA	Non-High Technology	2010	1
Mountain View, CA	Medical/Health/Life Science	2002	4
Irving, TX	Information Technology	2003	2
Lowell, MA	Non-High Technology	1986	1
San Antonio, TX	Non-High Technology	2004	1
Farmers Branch, TX	Information Technology	1997	1
Plano, TX	Medical/Health/Life Science	1988	2
Los Gatos, CA	Non-High Technology	2012	1
San Mateo, CA	Medical/Health/Life Science	2012	1
Minnetonka, MN	Information Technology	1981	1
Albuquerque, NM	Non-High Technology	2014	1
San Carlos, CA	Information Technology	2012	2
Mountain View, CA	Medical/Health/Life Science	2000	2
Stamford, CT	Information Technology	2018	1
Arlington, VA	Information Technology	2020	9
Waltham, MA	Information Technology	2002	8
Dallas, TX	Information Technology	2006	2
Somerville, MA	Information Technology	2001	1
Newton, MA	Non-High Technology	2010	1
Minnetonka, MN	Non-High Technology	1986	1
Waltham, MA	Medical/Health/Life Science	2004	3
Minnetonka, MN	Medical/Health/Life Science	1983	1
Los Angeles, CA	Non-High Technology	1996	3
Sunnyvale, CA	Information Technology	2001	22
San Diego, CA	Information Technology	1991	3
Rockville, MD	Information Technology	1998	1
San Diego, CA	Non-High Technology	1983	1
Redwood City, CA	Information Technology	1990	1
Dallas, TX	Information Technology	2002	1
Fort Worth, TX	Medical/Health/Life Science	2015	1
Chicago, IL	Medical/Health/Life Science	2001	1
Mountain View, CA	Information Technology	1987	3
Bethlehem, PA	Information Technology	1997	1
Rochester, NY	Non-High Technology	1989	1
West Concord, MA	Information Technology	2016	1
Pittsburgh, PA	Information Technology	1996	5
Milpitas, CA	Information Technology	2008	2
Seattle, WA	Information Technology	2014	21
Tysons Corner, VA	Information Technology	2009	1
Los Angeles, CA	Medical/Health/Life Science	2019	3
New York, NY	Medical/Health/Life Science	2018	8
Brentwood, TN	Non-High Technology	1991	1
Boca Raton, FL	Information Technology	1997	3
Dallas, TX	Non-High Technology	1986	2
New Orleans, LA	Medical/Health/Life Science	1983	1
San Jose, CA	Information Technology	1983	23
Redwood City, CA	Information Technology	2014	11
Cincinnati, OH	Non-High Technology	2005	1
Miami, FL	Non-High Technology	2003	1
Waltham, MA	Medical/Health/Life Science	1993	1
Tulsa, OK	Non-High Technology	2003	2
Irvine, CA	Information Technology	1999	12
Plano, TX	Information Technology	2000	10
Raleigh, NC	Information Technology	2010	1
Fremont, CA	Information Technology	2006	8
Tysons Corner, VA	Information Technology	2005	6
Santa Ana, CA	Information Technology	2001	1
Ann Arbor, MI	Medical/Health/Life Science	2012	4
Dallas, TX	Non-High Technology	1983	5
Salt Lake City, UT	Information Technology	2014	1
Norwalk, CT	Information Technology	2009	1
Tulsa, OK	Information Technology	1999	1
Cincinnati, OH	Non-High Technology	1995	1
Fort Lauderdale, FL	Information Technology	2007	1
Rockville, MD	Medical/Health/Life Science	2010	3
Beverly, MA	Information Technology	2000	1
Reston, VA	Information Technology	1999	3
San Diego, CA	Medical/Health/Life Science	2010	11
Pinehurst, MA	Information Technology	2007	1
Pasadena, CA	Medical/Health/Life Science	1996	1
San Rafael, CA	Non-High Technology	1984	1
Dallas, TX	Information Technology	2001	5
Nashville-Davidson, TN	Non-High Technology	1981	1
Bellevue, WA	Information Technology	2017	7
Westborough, MA	Information Technology	2010	1
State College, PA	Non-High Technology	2013	3
Omaha, NE	Information Technology	2015	1
Bothell, WA	Non-High Technology	1988	2
Fremont, CA	Information Technology	2018	3
Lexington, MA	Information Technology	2006	2
St. Louis, MO	Medical/Health/Life Science	1990	1
Raleigh, NC	Information Technology	2018	3
Austin, TX	Medical/Health/Life Science	2002	1
Burlington, MA	Information Technology	2020	2
Chicago, IL	Non-High Technology	2017	5
Morrisville, NC	Medical/Health/Life Science	2007	1
Pasadena, CA	Information Technology	2013	4
Provo, UT	Non-High Technology	2017	1
Framingham, MA	Non-High Technology	1986	2
Indianapolis city, IN	Non-High Technology	1986	5
Houston, TX	Medical/Health/Life Science	2018	4
Bothell, WA	Medical/Health/Life Science	1987	1
Stamford, CT	Medical/Health/Life Science	1988	1
Germantown, MD	Medical/Health/Life Science	2008	1
Houston, TX	Information Technology	2016	3
Burlingame, CA	Medical/Health/Life Science	1999	1
Milwaukee, WI	Information Technology	2019	2
Woburn, MA	Information Technology	2006	1
Sandy Springs, GA	Information Technology	2010	3
Bloomington, MN	Information Technology	2000	2
Chicago, IL	Information Technology	1993	1
Durham, NC	Medical/Health/Life Science	1995	4
Morrisville, NC	Medical/Health/Life Science	1991	1
Colorado Springs, CO	Information Technology	2002	1
Boulder, CO	Non-High Technology	2003	3
Miami, FL	Information Technology	2011	1
Los Angeles, CA	Information Technology	2008	14
Tucson, AZ	Information Technology	2016	2
Bethlehem, PA	Information Technology	2012	1
Florence-Graham, CA	Information Technology	1984	1
Andover, MA	Information Technology	2002	2
Champaign, IL	Information Technology	2010	1
New York, NY	Medical/Health/Life Science	2006	6
Overland Park, KS	Non-High Technology	2008	1
Tempe, AZ	Medical/Health/Life Science	2018	1
Durham, NC	Information Technology	2017	2
Salt Lake City, UT	Medical/Health/Life Science	1981	1
Santa Barbara, CA	Information Technology	2000	1
Bloomington, MN	Information Technology	1984	3
Salt Lake City, UT	Non-High Technology	1997	2
Boca Raton, FL	Medical/Health/Life Science	1990	1
Tysons Corner, VA	Medical/Health/Life Science	1984	1
Tysons Corner, VA	Information Technology	1999	9
New York, NY	Information Technology	2020	147
Philadelphia, PA	Non-High Technology	2012	1
Foster City, CA	Non-High Technology	1995	1
Burlingame, CA	Medical/Health/Life Science	1998	1
Atlanta, GA	Medical/Health/Life Science	2005	2
New York, NY	Information Technology	2010	98
Gaithersburg, MD	Medical/Health/Life Science	1999	1
Carmel, IN	Information Technology	1999	1
San Jose, CA	Non-High Technology	1986	1
Peachtree Corners, GA	Information Technology	1990	1
Oakland, CA	Information Technology	2000	9
Oklahoma City, OK	Medical/Health/Life Science	1996	1
Lexington, MA	Information Technology	2000	10
Bloomington, MN	Medical/Health/Life Science	2015	1
Farmers Branch, TX	Medical/Health/Life Science	2004	1
Pleasanton, CA	Medical/Health/Life Science	1995	1
Evanston, IL	Information Technology	2015	1
Raleigh, NC	Non-High Technology	2020	2
Chicago, IL	Medical/Health/Life Science	1996	1
Burlington, MA	Medical/Health/Life Science	1987	1
Framingham, MA	Information Technology	1989	1
Indianapolis city, IN	Information Technology	2017	4
Tysons Corner, VA	Information Technology	2014	3
Boulder, CO	Information Technology	2006	9
Palo Alto, CA	Information Technology	1981	2
South San Francisco, CA	Information Technology	1995	1
Pleasanton, CA	Non-High Technology	1993	1
Morrisville, NC	Information Technology	2001	1
Santa Rosa, CA	Medical/Health/Life Science	2018	1
Woburn, MA	Non-High Technology	2013	1
Pleasanton, CA	Non-High Technology	1992	1
Seattle, WA	Medical/Health/Life Science	1987	1
Portland, ME	Medical/Health/Life Science	1984	1
St. Louis, MO	Information Technology	2016	3
Santa Clara, CA	Information Technology	2016	9
Milwaukee, WI	Non-High Technology	1997	1
Wilmington, DE	Information Technology	2019	4
Malvern, PA	Medical/Health/Life Science	2010	1
Peachtree Corners, GA	Information Technology	2017	1
Los Angeles, CA	Medical/Health/Life Science	1994	1
Shelton, CT	Information Technology	1988	1
Santa Ana, CA	Medical/Health/Life Science	1989	1
Charlotte, NC	Medical/Health/Life Science	2004	1
Greenwood Village, CO	Non-High Technology	1987	1
Conshohocken, PA	Information Technology	2011	1
Chicago, IL	Non-High Technology	2003	3
Redwood City, CA	Information Technology	2007	8
Andover, MA	Non-High Technology	2010	1
Portland, ME	Information Technology	2011	1
Madison, WI	Information Technology	1990	1
Oklahoma City, OK	Medical/Health/Life Science	1983	1
San Jose, CA	Medical/Health/Life Science	1995	1
King of Prussia, PA	Medical/Health/Life Science	2014	3
Westborough, MA	Information Technology	2012	1
Philadelphia, PA	Medical/Health/Life Science	2015	4
Plano, TX	Information Technology	2002	1
Los Altos, CA	Medical/Health/Life Science	1987	1
Sunnyvale, CA	Medical/Health/Life Science	2016	1
Richmond, VA	Non-High Technology	2017	2
Sandy Springs, GA	Non-High Technology	1998	2
Plano, TX	Information Technology	2001	5
Irvine, CA	Medical/Health/Life Science	1982	2
Beverly Hills, CA	Information Technology	2000	5
St. Louis, MO	Information Technology	1999	2
Berkeley, CA	Information Technology	2013	6
Sandy Springs, GA	Information Technology	2006	3
Denver, CO	Information Technology	2000	21
Columbus, OH	Information Technology	2009	1
Boca Raton, FL	Non-High Technology	2001	1
San Francisco, CA	Information Technology	1993	4
Houston, TX	Medical/Health/Life Science	2000	5
Menlo Park, CA	Information Technology	1995	4
Culver City, CA	Non-High Technology	2014	2
Boston, MA	Non-High Technology	2015	4
Memphis, TN	Medical/Health/Life Science	2015	4
Peachtree Corners, GA	Information Technology	2001	5
Arlington, VA	Non-High Technology	1982	1
Tysons Corner, VA	Medical/Health/Life Science	1995	2
San Diego, CA	Medical/Health/Life Science	1994	11
Tempe, AZ	Information Technology	2018	1
Albuquerque, NM	Non-High Technology	2001	1
South San Francisco, CA	Non-High Technology	2000	1
Mountain View, CA	Medical/Health/Life Science	1984	1
Los Gatos, CA	Non-High Technology	2018	1
Bellevue, WA	Medical/Health/Life Science	1987	1
San Francisco, CA	Medical/Health/Life Science	1999	1
Houston, TX	Non-High Technology	2017	2
Needham, MA	Information Technology	1996	1
Denver, CO	Information Technology	2009	3
Oakland, CA	Information Technology	2013	6
Alexandria, VA	Information Technology	2018	2
Los Angeles, CA	Information Technology	2003	5
Houston, TX	Non-High Technology	2006	8
Sunnyvale, CA	Medical/Health/Life Science	1982	1
